fdc_id,Calcium,Carbohydrate,Copper,Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Fiber,Folate,Folic acid,Iron,Magnesium,Niacin,Phosphorus,Protein,Retinol,Riboflavin,Selenium,Sugar,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin E,Zinc,FoV
2342198,205,4.68,0.086,47,0.317,0.407,0.277,3.6,65,0,1.1,30,1.539,73,4.91,2,0.208,5.4,0.84,0.114,222,0.05,0.193,40.5,1.46,0.5,Vegetable
2342905,19,11.8,0.133,86,1.052,1.091,0.374,4,86,0,1.68,23,0.65,89,4.32,0,0.047,1.7,2.08,0.091,7,0,0.111,3.2,0.56,0.63,Vegetable
2342956,33,3.07,0.038,32,0.438,0.106,1.153,1.1,34,0,0.25,15,0.303,17,0.7,18,0.042,0.3,1.61,0.089,29,0,0.037,4.7,0.2,0.18,Vegetable
2344560,95,4.13,0.065,196,5.849,3.57,4.76,1.1,13,2,0.89,15,1.582,110,9.29,35,0.113,8.6,1.59,0.054,46,0.67,0.214,39,1.64,1.96,Vegetable
2344561,69,9.87,0.069,177,4.293,2.588,3.51,1,19,8,0.99,14,1.464,100,7.88,36,0.108,9.3,2.22,0.069,46,0.52,0.177,28.3,1.38,1.54,Vegetable
2344562,87,11.93,0.063,164,3.864,3.271,3.068,1.2,26,16,0.63,13,0.784,73,3.84,32,0.071,5.5,1.51,0.085,43,0.06,0.151,36.7,1.53,0.61,Vegetable
2344563,14,9.86,0.071,99,1.884,0.972,1.193,1,22,12,0.83,14,1.408,54,4.75,0,0.041,4.7,2.05,0.068,26,0.35,0.132,10.9,0.72,1.08,Vegetable
2344564,13,13.04,0.068,77,0.824,0.855,0.315,1.2,27,17,0.61,13,0.86,33,1.6,0,0.02,2.5,2.27,0.08,25,0,0.104,13,0.67,0.29,Vegetable
2344658,37,13.34,0.042,53,0.06,0.065,0.039,1.8,16,0,0.15,12,0.376,20,0.81,0,0.036,0.1,10.58,0.058,34,0,0.078,26.7,0.2,0.07,Fruit
2344659,22,10.66,0.032,42,0.02,0.036,0.021,1.6,13,0,0.08,9,0.204,18,0.77,0,0.031,0.1,6.89,0.043,58,0,0.053,31.2,0.13,0.07,Fruit
