ID,Descrip,Energy,Protein,Fat,Carbohydrate,Sugar,Fiber,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin E,Folate,Niacin,Riboflavin,Thiamin,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,FoV
9001,"Acerola, (west indian cherry), raw",32,0.4,0.3,7.69,0,1.1,38,0.009,0,1677.6,0,14,0.4,0.06,0.02,12,0.086,0.2,18,0,11,0.6,0.1,Fruit
9002,"Acerola juice, raw",23,0.4,0.3,4.8,4.5,0.3,25,0.004,0,1600,0.18,14,0.4,0.06,0.02,10,0.086,0.5,12,0,9,0.1,0.1,Fruit
9003,"Apples, raw, with skin",52,0.26,0.17,13.81,10.39,2.4,3,0.041,0,4.6,0.18,3,0.091,0.026,0.017,6,0.027,0.12,5,0.035,11,0,0.04,Fruit
9004,"Apples, raw, without skin",48,0.27,0.13,12.76,10.1,1.3,2,0.037,0,4,0.05,0,0.091,0.028,0.019,5,0.031,0.07,4,0.038,11,0,0.05,Fruit
9005,"Apples, raw, without skin, cooked, boiled",53,0.26,0.36,13.64,11.01,2.4,2,0.044,0,0.2,0.05,1,0.095,0.012,0.016,5,0.035,0.19,3,0.118,8,0.3,0.04,Fruit
9006,"Apples, raw, without skin, cooked, microwave",56,0.28,0.42,14.41,11.61,2.8,2,0.046,0,0.3,0.05,1,0.061,0.011,0.017,5,0.046,0.17,3,0.142,8,0.3,0.04,Fruit
9007,"Apples, canned, sweetened, sliced, drained, unheated",67,0.18,0.49,16.7,15,1.7,3,0.044,0,0.4,0.21,0,0.073,0.01,0.009,4,0.053,0.23,2,0.153,5,0.3,0.03,Fruit
9008,"Apples, canned, sweetened, sliced, drained, heated",67,0.18,0.43,16.84,14.84,2,3,0.044,0,0.2,0.21,0,0.081,0.01,0.009,4,0.051,0.24,3,0.165,6,0.3,0.05,Fruit
9009,"Apples, dehydrated (low moisture), sulfured, uncooked",346,1.32,0.58,93.53,81.13,12.4,4,0.28,0,2.2,0.75,1,0.68,0.13,0.046,19,0.271,2,22,0.128,55,1.8,0.29,Fruit
9010,"Apples, dehydrated (low moisture), sulfured, stewed",74,0.28,0.12,19.91,0,2.6,1,0.054,0,0.6,0,0,0.14,0.029,0.008,4,0.058,0.43,5,0.027,12,0.4,0.06,Fruit
9011,"Apples, dried, sulfured, uncooked",243,0.93,0.32,65.89,57.19,8.7,0,0.125,0,3.9,0.53,0,0.927,0.159,0,14,0.191,1.4,16,0.09,38,1.3,0.2,Fruit
9012,"Apples, dried, sulfured, stewed, without added sugar",57,0.22,0.07,15.32,13.32,2,1,0.05,0,1,0.12,0,0.129,0.019,0.006,3,0.044,0.33,4,0.021,9,0.3,0.05,Fruit
9013,"Apples, dried, sulfured, stewed, with added sugar",83,0.2,0.07,20.73,0,1.9,1,0.047,0,0.9,0,0,0.121,0.018,0.006,3,0.042,0.31,3,0.02,8,0,0.04,Fruit
9014,"Apples, frozen, unsweetened, unheated",48,0.28,0.32,12.31,10.1,1.3,0,0.034,0,0.1,0,1,0.042,0.011,0.013,4,0.058,0.18,3,0.169,8,0.2,0.05,Fruit
9015,"Apples, frozen, unsweetened, heated",47,0.29,0.33,12,0,1.3,0,0.032,0,0.4,0,1,0.043,0.011,0.014,5,0.065,0.19,3,0.146,8,0.2,0.05,Fruit
9016,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",46,0.1,0.13,11.3,9.62,0.2,0,0.018,0,0.9,0.01,0,0.073,0.017,0.021,8,0.012,0.12,5,0.074,7,0.1,0.02,Fruit
9017,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",166,0.51,0.37,41,38.83,0.4,0,0.116,0,2.1,0.04,1,0.135,0.054,0.011,20,0.05,0.91,17,0.225,25,0.4,0.13,Fruit
9018,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",47,0.14,0.1,11.54,10.93,0.1,0,0.033,0,0.6,0.01,0,0.038,0.015,0.003,6,0.014,0.26,5,0.063,7,0.1,0.04,Fruit
9019,"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",42,0.17,0.1,11.27,9.39,1.1,1,0.027,0,1,0.16,3,0.084,0.03,0.026,4,0.027,0.23,3,0.025,5,0.3,0.03,Fruit
